pool,block_number,block_hash,block_time,log_index,tx_hash,sender,recipient,amount0,amount1,sqrt_price_x96,liquidity,price,tick,gasUsed,gasPrice
mypool,15866980,0x2e0c6b3ba916b3ee018cd912d8712a251c08cbd77a2049c41913c88287f0c02c,1667206523,129,0x2e0c6b3ba916b3ee018cd912d8712a251c08cbd77a2049c41913c88287f0c02c,0xa01a6120b3109596d9446976809e4289b9f18d6b,recipient,-157.930542,0.09975147849778676,1991658078274610112530375503755667,0,1582.448566197913,202653,484764,7491990241
mypool,15866980,0x4e82be02c98431c01080a230bf08122332283ce2480d8faf01d2dd295def83fe,1667206523,108,0x4e82be02c98431c01080a230bf08122332283ce2480d8faf01d2dd295def83fe,0xe32d02fd54e53a4d3f4db2508eaa15540abe8889,recipient,-5000.0,3.1580859972622686,1991658180789339572875186646066431,0,1582.4484032941739,202653,316766,7491990241
mypool,15866980,0xbcff310eeb2a3b9034168ed1897d0388434b05c6968a85b255391647fb234a31,1667206523,9,0xbcff310eeb2a3b9034168ed1897d0388434b05c6968a85b255391647fb234a31,0x45c5232b76ed9c6a70ec842a1e79d2d00eb58827,recipient,-570164.741009,360.1933770832819,1991661426358593255946083208357203,0,1582.4432458496096,202653,144288,1015016306910
mypool,15866980,0xd80c735c07543ff5d748bffb7f163c585e332cafaa4833ec61c55ff3ae351578,1667206523,3,0xd80c735c07543ff5d748bffb7f163c585e332cafaa4833ec61c55ff3ae351578,0x000eedbdbe50e189baad667c6c497a46b225930d,recipient,237.159656,-0.15,1992031597579723776701129860756931,0,1581.8551823637733,202656,293253,6600000000
mypool,15866981,0x36c5b52aa0a0c4400f6aecdd765e5942ebec3cdc5bc731f3cac068ef46598202,1667206535,2,0x36c5b52aa0a0c4400f6aecdd765e5942ebec3cdc5bc731f3cac068ef46598202,0x474a6faf2178982be06028f0e1256af98910d9be,recipient,-468940.005356,296.1447984670204,1991353729864409771232049663188473,0,1582.932309996892,202649,194678,527656232323
mypool,15866982,0x573e15a655b78969b0e4475b184abc8763b41e4b715da40b4c8050b7ec94b0cb,1667206547,2,0x573e15a655b78969b0e4475b184abc8763b41e4b715da40b4c8050b7ec94b0cb,0x328db7533203c9b9bdd21d071490b667a4030f26,recipient,-366580.454636,231.43971307006572,1991115870102194314780955116746612,0,1583.310528460125,202647,256926,6113848141
mypool,15866982,0xa515cd89bd77ddbe01b49687a7ba8cd2bdc9d1350a5d4051fa99bf958df55dfa,1667206547,230,0xa515cd89bd77ddbe01b49687a7ba8cd2bdc9d1350a5d4051fa99bf958df55dfa,0xe32d02fd54e53a4d3f4db2508eaa15540abe8889,recipient,-10000.0,6.312701932326523,1991109382288324161623842582954051,0,1583.320846568044,202647,308494,7613848141
mypool,15866984,0xf93f8caa8dea10f7b4154f724d1b1c6e0399954c340920789ba2c967c6ec349e,1667206571,156,0xf93f8caa8dea10f7b4154f724d1b1c6e0399954c340920789ba2c967c6ec349e,0xa01a6120b3109596d9446976809e4289b9f18d6b,recipient,-157.930437,0.09969644700829702,1991109279826335834061796994409722,0,1583.3210095226423,202647,484724,7552197370
mypool,15866985,0x3eee0c0d2f2110c2a15c495c9aac1524275c1d32cd0888dc8afb8773d872faf5,1667206583,74,0x3eee0c0d2f2110c2a15c495c9aac1524275c1d32cd0888dc8afb8773d872faf5,0x72bab04152ca40f5f8b382289f0a71779f393467,recipient,15825.211846,-10.0,1991119552083814064489924466277968,0,1583.3046727445624,202647,174547,7695540890
mypool,15866986,0xd38c0cba2d004bcfbe297bba3b30c4a71096b310e9040f576d440f8cf09c6f89,1667206595,144,0xd38c0cba2d004bcfbe297bba3b30c4a71096b310e9040f576d440f8cf09c6f89,0xe32d02fd54e53a4d3f4db2508eaa15540abe8889,recipient,-2374.494313,1.4989567514183857,1991118011546575515065137801523474,0,1583.3071227658447,202647,308449,7453263025
